RowName,BGColor,BorderColor,TitleColor
PastelRed,"(R=1.0,G=0.70,B=0.70,A=1.0)","(R=0.85,G=0.60,B=0.60,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelOrange,"(R=1.0,G=0.80,B=0.65,A=1.0)","(R=0.85,G=0.68,B=0.55,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelYellow,"(R=1.0,G=0.95,B=0.65,A=1.0)","(R=0.85,G=0.80,B=0.55,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelLime,"(R=0.90,G=1.00,B=0.70,A=1.0)","(R=0.76,G=0.85,B=0.60,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelGreen,"(R=0.75,G=0.95,B=0.75,A=1.0)","(R=0.64,G=0.81,B=0.64,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelMint,"(R=0.75,G=1.00,B=0.90,A=1.0)","(R=0.64,G=0.85,B=0.76,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelSky,"(R=0.70,G=0.88,B=1.00,A=1.0)","(R=0.60,G=0.75,B=0.85,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelBlue,"(R=0.70,G=0.78,B=1.00,A=1.0)","(R=0.60,G=0.66,B=0.85,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelNavy,"(R=0.60,G=0.68,B=0.95,A=1.0)","(R=0.51,G=0.58,B=0.80,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelPurple,"(R=0.82,G=0.72,B=1.00,A=1.0)","(R=0.69,G=0.61,B=0.85,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelPink,"(R=1.00,G=0.78,B=0.92,A=1.0)","(R=0.85,G=0.66,B=0.78,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
PastelBrown,"(R=0.86,G=0.78,B=0.68,A=1.0)","(R=0.73,G=0.66,B=0.57,A=1.0)","(R=0.12,G=0.12,B=0.16,A=1.0)"
