RowName,Index,Step,Level,Category,Word,Eng
Listen_001,1,1,1,Region,서울,Seoul
Listen_002,2,1,1,Region,부산,Busan
Listen_003,3,1,1,Region,인천,Incheon
Listen_004,4,1,1,Region,대구,Daegu
Listen_005,5,1,1,Region,대전,Daejeon
Listen_006,6,1,1,Region,광주,Gwangju
Listen_007,7,1,1,Region,제주,Jeju
Listen_008,8,1,1,Region,수원,Suwon
Listen_009,9,1,2,Region,울산,Ulsan
Listen_010,10,1,2,Region,창원,Changwon
Listen_011,11,1,2,Region,청주,Cheongju
Listen_012,12,1,2,Region,전주,Jeonju
Listen_013,13,1,2,Region,포항,Pohang
Listen_014,14,1,2,Region,세종,Sejong
Listen_015,15,1,2,Region,김해,Gimhae
Listen_016,16,1,2,Region,강릉,Gangneung
Listen_017,17,1,3,Region,춘천,Chuncheon
Listen_018,18,1,3,Region,공주,Gongju
Listen_019,19,1,3,Region,경주,Gyeongju
Listen_020,20,1,3,Region,속초,Sokcho
Listen_021,21,1,3,Region,여수,Yeosu
Listen_022,22,1,3,Region,목포,Mokpo
Listen_023,23,1,3,Region,완주,Wanju
Listen_024,24,1,3,Region,통영,Tongyeong
Listen_025,101,2,1,Food,김밥,Gimbap
Listen_026,102,2,1,Food,비빔밥,Bibimbap
Listen_027,103,2,1,Food,라면,Ramen
Listen_028,104,2,1,Food,불고기,Bulgogi
Listen_029,105,2,1,Food,김치,Kimchi
Listen_030,106,2,1,Food,된장국,Doenjang Soup
Listen_031,107,2,1,Food,미역국,Seaweed Soup
Listen_032,108,2,1,Food,떡볶이,Tteokbokki
Listen_033,109,2,2,Food,찜닭,Braised Chicken
Listen_034,110,2,2,Food,갈비탕,Short Rib Soup
Listen_035,111,2,2,Food,순두부찌개,Soft Tofu Stew
Listen_036,112,2,2,Food,삼계탕,Ginseng Chicken Soup
Listen_037,113,2,2,Food,감자탕,Pork Bone Soup
Listen_038,114,2,2,Food,잡채,Japchae
Listen_039,115,2,2,Food,파전,Korean Pancake
Listen_040,116,2,2,Food,냉면,Cold Noodles
Listen_041,117,2,3,Food,곤드레밥,Thistle Rice
Listen_042,118,2,3,Food,청국장,Cheonggukjang
Listen_043,119,2,3,Food,막창,Grilled Beef Intestine
Listen_044,120,2,3,Food,족발,Jokbal
Listen_045,121,2,3,Food,수제비,Sujebi
Listen_046,122,2,3,Food,추어탕,Loach Soup
Listen_047,123,2,3,Food,아귀찜,Spicy Braised Monkfish
Listen_048,124,2,3,Food,뼈해장국,Pork Backbone Stew
