RowName,Index,Level,Desc,HexColor,Eng
Color_001,1,1,빨강,#FF0000,Red
Color_002,2,1,파랑,#0000FF,Blue
Color_003,3,1,노랑,#FFFF00,Yellow
Color_004,4,1,초록,#008000,Green
Color_005,5,1,검정,#000000,Black
Color_006,6,1,흰색,#FFFFFF,White
Color_007,7,1,회색,#808080,Gray
Color_008,8,1,주황,#FFA500,Orange
Color_009,9,2,분홍,#FFC0CB,Pink
Color_010,10,2,갈색,#8B4513,Brown
Color_011,11,2,남색,#000080,Navy
Color_012,12,2,보라색,#800080,Purple
Color_013,13,2,금색,#FFD700,Gold
Color_014,14,2,은색,#C0C0C0,Silver
Color_015,15,2,살구색,#FFCC99,Peach
Color_016,16,2,하늘색,#87CEEB,Sky Blue
Color_017,17,3,자주색,#C71585,Magent
Color_018,18,3,청록색,#008080,Turquoise
Color_019,19,3,황토색,#CC7722,Ochre
Color_020,20,3,진홍색,#DC143C,Crimson
Color_021,21,3,군청색,#003366,Ultramarine
Color_022,22,3,연두색,#99CC33,Lime
Color_023,23,3,와인색,#722F37,Burgundy
Color_024,24,3,베이지색,#F5F5DC,Beige
