RowName,Index,Step,Level,Category,Word
Listen_001,1,1,1,Region,서울
Listen_002,2,1,1,Region,부산
Listen_003,3,1,1,Region,인천
Listen_004,4,1,1,Region,대구
Listen_005,5,1,1,Region,대전
Listen_006,6,1,1,Region,광주
Listen_007,7,1,1,Region,제주
Listen_008,8,1,1,Region,수원
Listen_009,9,1,2,Region,울산
Listen_010,10,1,2,Region,창원
Listen_011,11,1,2,Region,청주
Listen_012,12,1,2,Region,전주
Listen_013,13,1,2,Region,포항
Listen_014,14,1,2,Region,세종
Listen_015,15,1,2,Region,김해
Listen_016,16,1,2,Region,강릉
Listen_017,17,1,3,Region,춘천
Listen_018,18,1,3,Region,공주
Listen_019,19,1,3,Region,경주
Listen_020,20,1,3,Region,속초
Listen_021,21,1,3,Region,여수
Listen_022,22,1,3,Region,목포
Listen_023,23,1,3,Region,완주
Listen_024,24,1,3,Region,통영
Listen_025,101,2,1,Food,김밥
Listen_026,102,2,1,Food,비빔밥
Listen_027,103,2,1,Food,라면
Listen_028,104,2,1,Food,불고기
Listen_029,105,2,1,Food,김치
Listen_030,106,2,1,Food,된장국
Listen_031,107,2,1,Food,미역국
Listen_032,108,2,1,Food,떡볶이
Listen_033,109,2,2,Food,찜닭
Listen_034,110,2,2,Food,갈비탕
Listen_035,111,2,2,Food,순두부찌개
Listen_036,112,2,2,Food,삼계탕
Listen_037,113,2,2,Food,감자탕
Listen_038,114,2,2,Food,잡채
Listen_039,115,2,2,Food,파전
Listen_040,116,2,2,Food,냉면
Listen_041,117,2,3,Food,곤드레밥
Listen_042,118,2,3,Food,청국장
Listen_043,119,2,3,Food,막창
Listen_044,120,2,3,Food,족발
Listen_045,121,2,3,Food,수제비
Listen_046,122,2,3,Food,추어탕
Listen_047,123,2,3,Food,아귀찜
Listen_048,124,2,3,Food,뼈해장국
